"uri","name","minValue","maxValue","lwrBound","uprBound"
"http://sinfonia.vignevin.com/id/variable/feuille_nombre_taches_black-rot_plante","Feuille_nombre_taches_black-rot_plante",0,NA,NA,NA
"http://sinfonia.vignevin.com/id/variable/feuille_oidium_oiv455","feuille_Résistance_oidium_OIV455",1,9,NA,NA
"http://sinfonia.vignevin.com/id/variable/feuille_phylloxera_s0_3","Feuille_phylloxera_S0_3",0,3,NA,NA
"http://sinfonia.vignevin.com/id/variable/feuille_phylloxra_s1_3","Feuille_phylloxéra_S1_3",1,3,NA,NA
"http://sinfonia.vignevin.com/id/variable/fleur_intensite_attaque_mildiou","Fleur_intensite_attaque_mildiou",0,100,NA,NA
"http://sinfonia.vignevin.com/id/variable/floraison-jj","floraison_jj",0,NA,140,190
"http://sinfonia.vignevin.com/id/variable/floraison","floraison",NA,NA,NA,NA
"http://sinfonia.vignevin.com/id/variable/gp_pds_g","Gp_pds_g",0,NA,NA,NA
"http://sinfonia.vignevin.com/id/variable/grappe_compacite_oiv204","grappe_compacité_OIV204",1,9,NA,NA
"http://sinfonia.vignevin.com/id/variable/grappe_compacite_vate","grappe_compacité_VATE",NA,NA,NA,NA
"http://sinfonia.vignevin.com/id/variable/grappe_freq_black-rot","grappe_ Freq_Black-rot",0,100,1,NA
"http://sinfonia.vignevin.com/id/variable/grappe_freqblack-rot_s0_5","Grappe_FreqBlack-rot_S0_5",0,5,NA,NA
"http://sinfonia.vignevin.com/id/variable/grappe_freqmildiou_s0_5","Grappe_FreqMildiou_S0_5",0,5,NA,NA
"http://sinfonia.vignevin.com/id/variable/grappe_freqoidium_s0_5","Grappe_FreqOidium_S0_5",0,5,NA,NA
"http://sinfonia.vignevin.com/id/variable/grappe_frequence_mildiou","grappe_Freq_Mildiou",0,100,1,NA
"http://sinfonia.vignevin.com/id/variable/grappe_frequence_oidium","Grappe_Freq_Oidium",0,100,1,NA
"http://sinfonia.vignevin.com/id/variable/grappe_intensite_attaque_oidium","Grappe_intensite_attaque_oidium",0,100,1,NA
"http://sinfonia.vignevin.com/id/variable/grappe_intensite_black-rot","Intensité attaque Black-rot",0,100,1,NA
"http://sinfonia.vignevin.com/id/variable/grappe_intensite_mildiou","grappe_intensité_attaque_mildiou",0,100,1,NA
"http://sinfonia.vignevin.com/id/variable/grappe_pourriture_acide","grappe_pourriture_acide",0,100,1,NA
"http://sinfonia.vignevin.com/id/variable/grappe_pourriture_grise","grappe_pourriture_grise",0,100,1,NA
"http://sinfonia.vignevin.com/id/variable/grappe_pourriture_grise_s0_5","grappe_pourriture_grise_S0_5",0,5,NA,NA
"http://sinfonia.vignevin.com/id/variable/ig-apex","apex_IC",0,1,NA,NA
"http://sinfonia.vignevin.com/id/variable/millesime","Millésime",NA,NA,1970,2023
"http://sinfonia.vignevin.com/id/variable/mout_absorbance_bleue_a_620_analyse_spectrophotometrique","mout_absorbance_bleue",0,NA,NA,NA
"http://sinfonia.vignevin.com/id/variable/mout_absorbance_jaune_a_420_analyse_spectrophotometrique","mout_absorbance_jaune",0,NA,NA,NA
"http://sinfonia.vignevin.com/id/variable/mout_absorbance_rouge_a_520_analyse_spectrophotometrique","mout_absorbance_rouge",0,NA,NA,NA
"http://sinfonia.vignevin.com/id/variable/mout_acide_lactique_gl","Mout_Acide_lactique_g/L",0,NA,NA,NA
"http://sinfonia.vignevin.com/id/variable/mout_acide_shikimique_gl","mout_acide_shikimique_gL",0,NA,NA,NA
"http://sinfonia.vignevin.com/id/variable/mout_acide_shikimique_mm","mout_acide_shikimique_mM",0,NA,NA,NA
"http://sinfonia.vignevin.com/id/variable/mout_acidit_volatile_gl","Mout_Acidité_volatile_g/L",0,NA,NA,NA
"http://sinfonia.vignevin.com/id/variable/mout_anthocyanes_mgl","Mout_Anthocyanes_mg/L",0,NA,NA,NA
"http://sinfonia.vignevin.com/id/variable/mout_at","Mout_AT",0,NA,2.7,7
"http://sinfonia.vignevin.com/id/variable/mout_concentration_en_acide_ascorbique_hplc-dad_mgl","mout_acide_ascorbique_mgL",0,NA,NA,NA
"http://sinfonia.vignevin.com/id/variable/mout_concentration_en_acide_ascorbique_hplc-dad_microm","mout_acide_ascorbique_microM",0,NA,NA,NA
"http://sinfonia.vignevin.com/id/variable/mout_concentration_en_acide_caftarique_hplc-dad_mgl","mout_acide_caftarique_mgL",0,NA,NA,NA
"http://sinfonia.vignevin.com/id/variable/mout_concentration_en_acide_caftarique_hplc-dad_microm","mout_acide_caftarique_microM",0,NA,NA,NA
"http://sinfonia.vignevin.com/id/variable/mout_concentration_en_acide_cis-coutarique_hplc-dad_mgl","mout_acide_cis-coutarique_mgL",0,NA,NA,NA
"http://sinfonia.vignevin.com/id/variable/mout_concentration_en_acide_cis-coutarique_hplc-dad_microm","mout_acide_cis-coutarique_microM",0,NA,NA,NA
"http://sinfonia.vignevin.com/id/variable/mout_concentration_en_acide_malique_hplc-dad-refractometrie_gl","mout_acide_malique_gL",0,NA,NA,NA
