uri,rdf_type,rdf_type_name,name,synonyms,code,production_year,description,species,species_name,variety,variety_name,accession,accession_name,institute,website,CodeTRUEL-VASSAL,CodeVIVC,CodeGO2,Pere,NumAgrementOfficiel,Mere
"http://sinfonia.vignevin.com/id/germplasm/variety.carcajolo_n",vocabulary:Variety,Variété,"CARCAJOLO N",,1531,,GO2-2063,"http://sinfonia.vignevin.com/id/germplasm/species.vitis_vinifera_subsp_vinifera","Vitis vinifera subsp. vinifera",,,,,,"https://plantgrape.plantnet-project.org/fr/cepage/carcajolo",1531,,2063,,,
"http://sinfonia.vignevin.com/id/germplasm/accession.biancu_gentile_b_cl989",vocabulary:Accession,Accession,"BIANCU GENTILE B Cl989",,989,,GO2-269500021,"http://sinfonia.vignevin.com/id/germplasm/species.vitis_vinifera_subsp_vinifera","Vitis vinifera subsp. vinifera","http://sinfonia.vignevin.com/id/germplasm/variety.biancu_gentile_b","BIANCU GENTILE B",,,,,,,269500021,,989,
"http://sinfonia.vignevin.com/id/germplasm/accession.cot_n_cl597",vocabulary:Accession,Accession,"COT N Cl597",,597,,GO2-132100641,"http://sinfonia.vignevin.com/id/germplasm/species.vitis_vinifera_subsp_vinifera","Vitis vinifera subsp. vinifera","http://sinfonia.vignevin.com/id/germplasm/variety.cot_n","COT N",,,,,,,132100641,,597,
"http://sinfonia.vignevin.com/id/germplasm/accession.duras_n_cl627",vocabulary:Accession,Accession,"DURAS N Cl627",,627,,GO2-214300111,"http://sinfonia.vignevin.com/id/germplasm/species.vitis_vinifera_subsp_vinifera","Vitis vinifera subsp. vinifera","http://sinfonia.vignevin.com/id/germplasm/variety.duras_n","DURAS N",,,,,,,214300111,,627,
"http://sinfonia.vignevin.com/id/germplasm/variety.3565_p258_a08",vocabulary:Variety,Variété,3565-P258-A08,,,,EDGARR,"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique","Vitis x interspécifique",,,,,,,,,,"CINSAUT N",,3421-F02-PL5
"http://sinfonia.vignevin.com/id/germplasm/accession.folle_blanche_b_cl1131",vocabulary:Accession,Accession,"FOLLE BLANCHE B Cl1131",,1131,,GO2-120100871,"http://sinfonia.vignevin.com/id/germplasm/species.vitis_vinifera_subsp_vinifera","Vitis vinifera subsp. vinifera","http://sinfonia.vignevin.com/id/germplasm/variety.folle_blanche_b","FOLLE BLANCHE B",,,,,,,120100871,,1131,
"http://sinfonia.vignevin.com/id/germplasm/variety.datal_b",vocabulary:Variety,Variété,"DATAL B",,2795,,GO2-789,"http://sinfonia.vignevin.com/id/germplasm/species.vitis_vinifera_subsp_vinifera","Vitis vinifera subsp. vinifera",,,,,,"https://plantgrape.plantnet-project.org/fr/cepage/datal",2795,,789,,,
"http://sinfonia.vignevin.com/id/germplasm/variety.mauzac_rose_rs",vocabulary:Variety,Variété,"MAUZAC ROSE RS",,444,,GO2-1353,"http://sinfonia.vignevin.com/id/germplasm/species.vitis_vinifera_subsp_vinifera","Vitis vinifera subsp. vinifera",,,,,,"https://plantgrape.plantnet-project.org/fr/cepage/mauzac%20rose",444,,1353,,,
"http://sinfonia.vignevin.com/id/germplasm/variety.mtp5-18-79",vocabulary:Variety,Variété,Mtp5-18-79,,"VHR 5- 18- 79",,,"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique","Vitis x interspécifique",,,,,INRA,"https://www.vivc.de/index.php?r=passport%2Fview&id=22563",,22563,,"GRENACHE N",,VHR8628
"http://sinfonia.vignevin.com/id/germplasm/accession.sauvignon_b_cl297",vocabulary:Accession,Accession,"SAUVIGNON B Cl297",,297,,GO2-156100341,"http://sinfonia.vignevin.com/id/germplasm/species.vitis_vinifera_subsp_vinifera","Vitis vinifera subsp. vinifera","http://sinfonia.vignevin.com/id/germplasm/variety.sauvignon_b","SAUVIGNON B",,,,,,,156100341,,297,
"http://sinfonia.vignevin.com/id/germplasm/variety.listan_b",vocabulary:Variety,Variété,"LISTAN B",,28,,GO2-2263,"http://sinfonia.vignevin.com/id/germplasm/species.vitis_vinifera_subsp_vinifera","Vitis vinifera subsp. vinifera",,,,,,"https://plantgrape.plantnet-project.org/fr/cepage/listan",28,,2263,,,
"http://sinfonia.vignevin.com/id/germplasm/accession.trousseau_n_cl1017",vocabulary:Accession,Accession,"TROUSSEAU N Cl1017",,1017,,GO2-245301081,"http://sinfonia.vignevin.com/id/germplasm/species.vitis_vinifera_subsp_vinifera","Vitis vinifera subsp. vinifera","http://sinfonia.vignevin.com/id/germplasm/variety.trousseau_n","TROUSSEAU N",,,,,,,245301081,,1017,
"http://sinfonia.vignevin.com/id/germplasm/accession.piquepoul_blanc_b_cl238",vocabulary:Accession,Accession,"PIQUEPOUL BLANC B Cl238",,238,,GO2-152100251,"http://sinfonia.vignevin.com/id/germplasm/species.vitis_vinifera_subsp_vinifera","Vitis vinifera subsp. vinifera","http://sinfonia.vignevin.com/id/germplasm/variety.piquepoul_blanc_b","PIQUEPOUL BLANC B",,,,,,,152100251,,238,
"http://sinfonia.vignevin.com/id/germplasm/accession.ugni_blanc_b_cl481",vocabulary:Accession,Accession,"UGNI BLANC B Cl481",,481,,GO2-163101801,"http://sinfonia.vignevin.com/id/germplasm/species.vitis_vinifera_subsp_vinifera","Vitis vinifera subsp. vinifera","http://sinfonia.vignevin.com/id/germplasm/variety.ugni_blanc_b","UGNI BLANC B",,,,,,,163101801,,481,
"http://sinfonia.vignevin.com/id/germplasm/accession.pinot_noir_n_cl164",vocabulary:Accession,Accession,"PINOT NOIR N Cl164",,164,,GO2-151108141,"http://sinfonia.vignevin.com/id/germplasm/species.vitis_vinifera_subsp_vinifera","Vitis vinifera subsp. vinifera","http://sinfonia.vignevin.com/id/germplasm/variety.pinot_noir_n","PINOT NOIR N",,,,,,,151108141,,164,
"http://sinfonia.vignevin.com/id/germplasm/accession.mauzac_b_cl741",vocabulary:Accession,Accession,"MAUZAC B Cl741",,741,,GO2-135100251,"http://sinfonia.vignevin.com/id/germplasm/species.vitis_vinifera_subsp_vinifera","Vitis vinifera subsp. vinifera","http://sinfonia.vignevin.com/id/germplasm/variety.mauzac_b","MAUZAC B",,,,,,,135100251,,741,
"http://sinfonia.vignevin.com/id/germplasm/variety.3566_p242_a03",vocabulary:Variety,Variété,3566-P242-A03,,,,EDGARR,"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique","Vitis x interspécifique",,,,,,,,,,"VERMENTINO B",,3421-F02-PL5
"http://sinfonia.vignevin.com/id/germplasm/accession.cot_n_cl598",vocabulary:Accession,Accession,"COT N Cl598",,598,,GO2-132100651,"http://sinfonia.vignevin.com/id/germplasm/species.vitis_vinifera_subsp_vinifera","Vitis vinifera subsp. vinifera","http://sinfonia.vignevin.com/id/germplasm/variety.cot_n","COT N",,,,,,,132100651,,598,
"http://sinfonia.vignevin.com/id/germplasm/accession.gamay_n_cl285",vocabulary:Accession,Accession,"GAMAY N Cl285",,285,,GO2-122100981,"http://sinfonia.vignevin.com/id/germplasm/species.vitis_vinifera_subsp_vinifera","Vitis vinifera subsp. vinifera","http://sinfonia.vignevin.com/id/germplasm/variety.gamay_n","GAMAY N",,,,,,,122100981,,285,
