"uri","rdf_type","name","species_name","code","website","CodeGO2","CodeTRUEL-VASSAL","CodeVIVC","Mere","NumAgrementOfficiel","Pere","synonyms"
"http://sinfonia.vignevin.com/id/germplasm/accession.cabernet_franc_n_cl678","vocabulary:Accession","CABERNET FRANC N Cl678","Vitis vinifera subsp. vinifera","678",NA,"110102013",NA,NA,NA,"678",NA,NA
"http://sinfonia.vignevin.com/id/germplasm/variety.cabernet_sauvignon_n","vocabulary:Variety","CABERNET-SAUVIGNON N","Vitis vinifera subsp. vinifera","322","https://plantgrape.plantnet-project.org/fr/cepage/cabernet-sauvignon","1111","322",NA,NA,NA,NA,NA
"http://sinfonia.vignevin.com/id/germplasm/accession.cabernet-sauvignon_n_cl1124","vocabulary:Accession","CABERNET-SAUVIGNON N Cl1124","Vitis vinifera subsp. vinifera","1124",NA,"111101901",NA,NA,NA,"1124",NA,NA
"http://sinfonia.vignevin.com/id/germplasm/accession.cabernet-sauvignon_n_cl1125","vocabulary:Accession","CABERNET-SAUVIGNON N Cl1125","Vitis vinifera subsp. vinifera","1125",NA,"11110160481",NA,NA,NA,"1125",NA,NA
"http://sinfonia.vignevin.com/id/germplasm/accession.cabernet-sauvignon_n_cl15","vocabulary:Accession","CABERNET-SAUVIGNON N Cl15","Vitis vinifera subsp. vinifera","15",NA,"111100011",NA,NA,NA,"15",NA,NA
"http://sinfonia.vignevin.com/id/germplasm/accession.cabernet-sauvignon_n_cl169","vocabulary:Accession","CABERNET-SAUVIGNON N Cl169","Vitis vinifera subsp. vinifera","169",NA,"111100021",NA,NA,NA,"169",NA,NA
"http://sinfonia.vignevin.com/id/germplasm/accession.cabernet-sauvignon_n_cl170","vocabulary:Accession","CABERNET-SAUVIGNON N Cl170","Vitis vinifera subsp. vinifera","170",NA,"111100091",NA,NA,NA,"170",NA,NA
"http://sinfonia.vignevin.com/id/germplasm/accession.cabernet-sauvignon_n_cl191","vocabulary:Accession","CABERNET-SAUVIGNON N Cl191","Vitis vinifera subsp. vinifera","191",NA,"111101781",NA,NA,NA,"191",NA,NA
"http://sinfonia.vignevin.com/id/germplasm/accession.cabernet-sauvignon_n_cl216","vocabulary:Accession","CABERNET-SAUVIGNON N Cl216","Vitis vinifera subsp. vinifera","216",NA,"111100041",NA,NA,NA,"216",NA,NA
"http://sinfonia.vignevin.com/id/germplasm/accession.cabernet-sauvignon_n_cl217","vocabulary:Accession","CABERNET-SAUVIGNON N Cl217","Vitis vinifera subsp. vinifera","217",NA,"111100251",NA,NA,NA,"217",NA,NA
