"uri"	"rdf_type"	"rdf_type_name"	"name"	"species"	"species_name"
"http://sinfonia.vignevin.com/id/germplasm/variety.3563_p244_e07"	"vocabulary:Variety"	"Variété"	"3563-P244-E07"	"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique"	"Vitis x interspécifique"
"http://sinfonia.vignevin.com/id/germplasm/variety.3563_p244_e08"	"vocabulary:Variety"	"Variété"	"3563-P244-E08"	"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique"	"Vitis x interspécifique"
"http://sinfonia.vignevin.com/id/germplasm/variety.3563_p244_e10"	"vocabulary:Variety"	"Variété"	"3563-P244-E10"	"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique"	"Vitis x interspécifique"
"http://sinfonia.vignevin.com/id/germplasm/variety.3563_p244_f01"	"vocabulary:Variety"	"Variété"	"3563-P244-F01"	"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique"	"Vitis x interspécifique"
"http://sinfonia.vignevin.com/id/germplasm/variety.3563_p244_f07"	"vocabulary:Variety"	"Variété"	"3563-P244-F07"	"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique"	"Vitis x interspécifique"
"http://sinfonia.vignevin.com/id/germplasm/variety.3563_p244_f08"	"vocabulary:Variety"	"Variété"	"3563-P244-F08"	"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique"	"Vitis x interspécifique"
"http://sinfonia.vignevin.com/id/germplasm/variety.3563_p244_f09"	"vocabulary:Variety"	"Variété"	"3563-P244-F09"	"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique"	"Vitis x interspécifique"
"http://sinfonia.vignevin.com/id/germplasm/variety.3563_p244_f10"	"vocabulary:Variety"	"Variété"	"3563-P244-F10"	"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique"	"Vitis x interspécifique"
"http://sinfonia.vignevin.com/id/germplasm/variety.3563_p245_a03"	"vocabulary:Variety"	"Variété"	"3563-P245-A03"	"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique"	"Vitis x interspécifique"
"http://sinfonia.vignevin.com/id/germplasm/variety.3563_p245_a05"	"vocabulary:Variety"	"Variété"	"3563-P245-A05"	"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique"	"Vitis x interspécifique"
"http://sinfonia.vignevin.com/id/germplasm/variety.3563_p245_a07"	"vocabulary:Variety"	"Variété"	"3563-P245-A07"	"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique"	"Vitis x interspécifique"
