"uri"	"rdf_type"	"rdf_type_name"	"name"	"synonyms"	"code"	"production_year"	"description"	"species"	"species_name"	"variety"	"variety_name"	"accession"	"accession_name"	"institute"	"website"	"Sexe"
"http://vitis-explorer.inrae.fr/id/germplasm/variety.chardonnay"	"http://www.opensilex.org/vocabulary/oeso#Variety"	"Variety"	"Chardonnay"	NA	NA	NA	NA	"http://aims.fao.org/aos/agrovoc/c_8283"	"grapevine"	NA	NA	NA	NA	NA	NA	NA
"http://vitis-explorer.inrae.fr/id/germplasm/variety.chardonnay_b"	"http://www.opensilex.org/vocabulary/oeso#Variety"	"Variety"	"Chardonnay B"	NA	NA	NA	NA	"http://aims.fao.org/aos/agrovoc/c_8283"	"grapevine"	NA	NA	NA	NA	NA	NA	NA
"http://vitis-explorer.inrae.fr/id/germplasm/variety.inrae-resdur1"	"http://www.opensilex.org/vocabulary/oeso#Variety"	"Variety"	"INRAE-ResDur1"	NA	NA	NA	"variété non existante pour test"	"http://aims.fao.org/aos/agrovoc/c_8283"	"grapevine"	NA	NA	NA	NA	"INRAE"	NA	NA
"http://vitis-explorer.inrae.fr/id/germplasm/variety.inrae-resdur10"	"http://www.opensilex.org/vocabulary/oeso#Variety"	"Variety"	"INRAE-ResDur10"	NA	NA	NA	"variété non existante pour test"	"http://aims.fao.org/aos/agrovoc/c_8283"	"grapevine"	NA	NA	NA	NA	"INRAE"	NA	NA
"http://vitis-explorer.inrae.fr/id/germplasm/variety.inrae-resdur100"	"http://www.opensilex.org/vocabulary/oeso#Variety"	"Variety"	"INRAE-ResDur100"	NA	NA	NA	"variété non existante pour test"	"http://aims.fao.org/aos/agrovoc/c_8283"	"grapevine"	NA	NA	NA	NA	"INRAE"	NA	NA
"http://vitis-explorer.inrae.fr/id/germplasm/variety.inrae-resdur101"	"http://www.opensilex.org/vocabulary/oeso#Variety"	"Variety"	"INRAE-ResDur101"	NA	NA	NA	"variété non existante pour test"	"http://aims.fao.org/aos/agrovoc/c_8283"	"grapevine"	NA	NA	NA	NA	"INRAE"	NA	NA
"http://vitis-explorer.inrae.fr/id/germplasm/variety.inrae-resdur102"	"http://www.opensilex.org/vocabulary/oeso#Variety"	"Variety"	"INRAE-ResDur102"	NA	NA	NA	"variété non existante pour test"	"http://aims.fao.org/aos/agrovoc/c_8283"	"grapevine"	NA	NA	NA	NA	"INRAE"	NA	NA
"http://vitis-explorer.inrae.fr/id/germplasm/variety.inrae-resdur103"	"http://www.opensilex.org/vocabulary/oeso#Variety"	"Variety"	"INRAE-ResDur103"	NA	NA	NA	"variété non existante pour test"	"http://aims.fao.org/aos/agrovoc/c_8283"	"grapevine"	NA	NA	NA	NA	"INRAE"	NA	NA
"http://vitis-explorer.inrae.fr/id/germplasm/variety.inrae-resdur104"	"http://www.opensilex.org/vocabulary/oeso#Variety"	"Variety"	"INRAE-ResDur104"	NA	NA	NA	"variété non existante pour test"	"http://aims.fao.org/aos/agrovoc/c_8283"	"grapevine"	NA	NA	NA	NA	"INRAE"	NA	NA
"http://vitis-explorer.inrae.fr/id/germplasm/variety.inrae-resdur105"	"http://www.opensilex.org/vocabulary/oeso#Variety"	"Variety"	"INRAE-ResDur105"	NA	NA	NA	"variété non existante pour test"	"http://aims.fao.org/aos/agrovoc/c_8283"	"grapevine"	NA	NA	NA	NA	"INRAE"	NA	NA
