"uri","name","alternative_name","description","datatype","URIgroup","group"
"https://cropontology.org/term/CO_356:1000082","FLO_END","Flowering end","Flowering end","http://www.w3.org/2001/XMLSchema#date",NA,NA
"https://cropontology.org/term/CO_356:1000083","FLO_START","Flowering start","Flowering start","http://www.w3.org/2001/XMLSchema#date",NA,NA
"https://cropontology.org/term/CO_356:1000084","MORPHO_OIV_151","Flower: sexual organs","Flower: sexual organs","http://www.w3.org/2001/XMLSchema#string",NA,NA
"https://cropontology.org/term/CO_356:1000085","SO2_FREE","Free SO2","Free SO2","http://www.w3.org/2001/XMLSchema#decimal",NA,NA
"https://cropontology.org/term/CO_356:1000086","GLUFRU","Glucose and fructose concentration","Glucose and fructose concentration","http://www.w3.org/2001/XMLSchema#decimal",NA,NA
"https://cropontology.org/term/CO_356:1000087","MORPHO_OIV_352","Growth of axillary shoots","Growth of axillary shoots","http://www.w3.org/2001/XMLSchema#string",NA,NA
"https://cropontology.org/term/CO_356:1000088","HS_Tmax_B02_15FB","Heat sums with Tmax","Heat sums with Tmax","http://www.w3.org/2001/XMLSchema#decimal","http://vitis-explorer.inrae.fr/id/variablesGroup/agro","Agro"
"https://cropontology.org/term/CO_356:1000089","HS_Tmax_B06_FloVer","Heat sums with Tmax","Heat sums with Tmax","http://www.w3.org/2001/XMLSchema#decimal",NA,NA
"https://cropontology.org/term/CO_356:1000090","HS_Tmax_B10_BudFlo","Heat sums with Tmax","Heat sums with Tmax","http://www.w3.org/2001/XMLSchema#decimal","http://vitis-explorer.inrae.fr/id/variablesGroup/agro","Agro"
"https://cropontology.org/term/CO_356:1000091","MORPHO_OIV_152","Inflorescence: insertion of 1st inflorescence","Inflorescence: insertion of 1st inflorescence","http://www.w3.org/2001/XMLSchema#string",NA,NA
"https://cropontology.org/term/CO_356:1000092","FERT_OIV_153","Number of inflorescences per shoot","Number of inflorescences per shoot","http://www.w3.org/2001/XMLSchema#string",NA,NA
"https://cropontology.org/term/CO_356:1000093","INT_L","Internode length","Internode length","http://www.w3.org/2001/XMLSchema#decimal",NA,NA
"https://cropontology.org/term/CO_356:1000094","LEAF_A_M2","Leaf area per m2 of soil","Leaf area per m2 of soil","http://www.w3.org/2001/XMLSchema#decimal",NA,NA
